"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C3,C5","100uF*50V","~","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","2",""
"C4,C6,C10","1uF*50V","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","3",""
"C7","1nF*250V","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1",""
"C8,C9","220uF*10V","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2",""
"D1,D2,D3,D4,D5,D6","LED","~","LED_THT:LED_D3.0mm","6",""
"D7","SS310","https://www.microdiode.com/uploadfiles//PDF/SS32-THRU-SS3200-SMA.pdf","Diode_SMD:D_SMA","1",""
"F1","Fuse","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","1",""
"J1","Conn_02x20_Odd_Even","~","pcbDAC:LCD","1",""
"J2","FPGA_board","~","pcbDAC:FPGA_board","1",""
"J3","165MDAC","~","pcbDAC:165M_DAC","1",""
"J4,J5","65MADC","~","pcbDAC:65M_ADC","2",""
"J6","Conn_01x08","~","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1",""
"J7","Input","~","Connector_Molex:Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical","1",""
"J9","Conn_01x10_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","1",""
"L1","10mH","~","PowerLibrary:IndRing","1",""
"L2","10uH","~","Inductor_SMD:L_6.3x6.3_H3","1",""
"L3,L4","1uH","~","Inductor_SMD:L_6.3x6.3_H3","2",""
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8","2N7002H","http://www.diodes.com/assets/Datasheets/2N7002H.pdf","Package_TO_SOT_SMD:SOT-23","8",""
"R1,R2,R3,R4,R5,R6,R7,R8","0","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","8",""
"R9,R10,R11,R12,R13,R14,R15,R16,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R41,R42,R47,R50,R53,R56,R59,R62","10k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","26",""
"R17,R18,R19,R20,R21,R22","330","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","6",""
"R33,R34,R35,R36,R37,R38,R39,R40","1k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","8",""
"R43,R45,R48,R51,R54,R57,R60,R63","100k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","8",""
"R44,R46,R49,R52,R55,R58,R61,R64","220","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","8",""
"RV1","14D560K","~","eec:Bourns_Inc.-MOV-14D471K-MFG","1",""
"RV2,RV3","R_Potentiometer","~","DPAK:TRIM_3296W-1-203","2",""
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10","SW_Push","~","Button_Switch_THT:SW_PUSH_6mm","10",""
"SW11,SW12","SW_DIP_x06","~","Button_Switch_THT:SW_DIP_SPSTx06_Slide_9.78x17.42mm_W7.62mm_P2.54mm","2",""
"U1","U","","PowerLibrary:HLK","1",""
"U2,U3","LTV-847","http://optoelectronics.liteon.com/upload/download/DS-70-96-0016/LTV-8X7%20series.PDF","Package_DIP:DIP-16_W7.62mm","2",""
"U4","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
